ID,Marca,Modelo,Ano,Cor,Combustível,Potência (cv),Número de Portas,Quilômetros,Condição,Garantia (meses),Cidade,Estado,Preço (R$)
1707,Ford,Ecosport,2025,Branco,Diesel,130,4,28276,Usado - Como Novo,24,Belém,PA,12486.02
1708,Honda,Fit,2013,Azul,Diesel,200,4,11307,Usado - Como Novo,24,Rio de Janeiro,RJ,9431.46
1709,Ford,Fusion,2024,Marrom,Flex,85,4,19462,Usado - Como Novo,0,São Paulo,SP,10276.02
1710,Ford,Fusion,2015,Azul,Flex,110,2,193,Novo,12,Rio de Janeiro,RJ,8773.13
1711,Honda,Civic,2012,Branco,Diesel,100,4,43758,Usado - Bom Estado,24,Porto Alegre,RS,5650.64
1712,Toyota,Camry,2018,Branco,Flex,100,4,57336,Usado - Bom Estado,48,Belo Horizonte,MG,8826.85
1713,Nissan,March,2024,Prata,Híbrido,110,5,26574,Usado - Como Novo,6,Curitiba,PR,11284.07
1714,Hyundai,Creta,2012,Laranja,Híbrido,100,4,214,Novo,0,Manaus,AM,8172.2
1715,Toyota,Hilux,2014,Beige,Híbrido,150,5,271031,Usado - Regular,36,Porto Alegre,RS,4000.0
1716,Audi,TT,2021,Cinza,Flex,180,4,29944,Usado - Como Novo,6,Curitiba,PR,35242.97
1717,Toyota,Camry,2018,Laranja,Flex,180,5,59421,Usado - Bom Estado,0,São Paulo,SP,9064.72
1718,Fiat,Doblo,2022,Vermelho,Híbrido,110,5,207,Novo,48,Belém,PA,10294.33
1719,Audi,A3,2023,Vermelho,Flex,150,4,21969,Usado - Como Novo,0,Florianópolis,SC,43783.67
1720,Volkswagen,Gol,2023,Prata,Flex,60,5,2522,Usado - Como Novo,48,Recife,PE,11066.25
1721,Honda,Fit,2017,Azul,Flex,120,4,89126,Usado - Bom Estado,36,Florianópolis,SC,7958.38
1722,Honda,Accord,2018,Azul,Flex,150,4,173216,Usado - Regular,24,Rio de Janeiro,RJ,4121.92
1723,Volkswagen,Polo,2016,Marrom,Diesel,110,4,9374,Usado - Como Novo,48,São Paulo,SP,8817.15
1724,Toyota,Hilux,2019,Beige,Híbrido,150,5,137711,Usado - Regular,0,Manaus,AM,6192.33
1725,Fiat,Uno,2017,Beige,Elétrico,130,4,14292,Usado - Como Novo,0,Belo Horizonte,MG,7308.46
1726,Toyota,Corolla,2023,Cinza,Diesel,200,5,11531,Usado - Como Novo,12,Belo Horizonte,MG,15692.06
1727,Chevrolet,Onix,2015,Vermelho,Flex,110,4,17796,Usado - Como Novo,48,Porto Alegre,RS,6974.67
1728,Audi,TT,2025,Beige,Gasolina,300,4,276836,Usado - Regular,0,Goiânia,GO,16665.91
1729,Nissan,X-Trail,2022,Preto,Flex,75,5,8373,Usado - Como Novo,0,Belém,PA,8268.83
1730,Ford,Ka,2012,Laranja,Flex,130,4,195539,Usado - Regular,36,Rio de Janeiro,RJ,4000.0
1731,Volkswagen,Fox,2013,Beige,Flex,100,5,399,Novo,6,Fortaleza,CE,8212.43
1732,Ford,Ecosport,2023,Preto,Diesel,100,4,285562,Usado - Regular,24,Salvador,BA,4000.0
1733,Chevrolet,Malibu,2017,Marrom,Flex,75,4,60638,Usado - Bom Estado,36,São Paulo,SP,5507.41
1734,Hyundai,i30,2015,Preto,Híbrido,60,5,184246,Usado - Regular,36,Curitiba,PR,4000.0
1735,Honda,HR-V,2014,Cinza,Híbrido,150,4,83514,Usado - Bom Estado,24,Curitiba,PR,6782.37
1736,Mercedes,E 350,2018,Beige,Flex,320,4,385,Novo,0,Porto Alegre,RS,47960.58
1737,Hyundai,Bayon,2018,Laranja,Gasolina,85,4,77,Novo,24,São Paulo,SP,10896.78
1738,Honda,Accord,2013,Vermelho,Elétrico,80,4,39,Novo,24,Manaus,AM,11755.22
1739,Hyundai,HB20,2019,Verde,Híbrido,75,4,39729,Usado - Como Novo,24,Curitiba,PR,9914.24
1740,Hyundai,Creta,2022,Marrom,Híbrido,150,5,117684,Usado - Bom Estado,0,Salvador,BA,7268.32
1741,Nissan,Leaf,2012,Preto,Flex,150,4,173,Novo,0,Manaus,AM,7387.34
1742,Fiat,Palio,2022,Cinza,Flex,150,5,15403,Usado - Como Novo,48,Belo Horizonte,MG,8119.87
1743,Fiat,Doblo,2021,Vermelho,Flex,110,4,77297,Usado - Bom Estado,24,Goiânia,GO,5293.31
1744,Toyota,Corolla,2018,Verde,Gasolina,150,4,12343,Usado - Como Novo,0,Porto Alegre,RS,11213.52
1745,Hyundai,Bayon,2021,Laranja,Gasolina,100,4,2444,Usado - Como Novo,36,Curitiba,PR,10379.55
1746,Chevrolet,Equinox,2023,Preto,Elétrico,100,4,21257,Usado - Como Novo,36,Curitiba,PR,11649.6
1747,Toyota,Yaris,2012,Beige,Flex,200,4,287068,Usado - Regular,48,Goiânia,GO,4000.0
1748,Volkswagen,Tiguan,2024,Beige,Híbrido,100,4,167,Novo,36,Curitiba,PR,16712.32
1749,Fiat,Doblo,2023,Verde,Flex,100,4,241201,Usado - Regular,36,Belo Horizonte,MG,4000.0
1750,Honda,HR-V,2025,Azul,Gasolina,150,4,11932,Usado - Como Novo,36,Goiânia,GO,15925.08
1751,Chevrolet,Equinox,2014,Prata,Gasolina,150,4,31804,Usado - Como Novo,6,Fortaleza,CE,6494.55
1752,Honda,Fit,2014,Branco,Flex,120,5,193215,Usado - Regular,24,São Paulo,SP,4000.0
1753,Toyota,Hilux,2021,Vermelho,Elétrico,80,4,27200,Usado - Como Novo,0,Curitiba,PR,15206.62
1754,Volkswagen,Gol,2025,Prata,Gasolina,85,4,242717,Usado - Regular,0,Manaus,AM,4000.0
1755,Audi,TT,2013,Preto,Híbrido,180,5,42210,Usado - Bom Estado,48,Fortaleza,CE,24248.05
1756,Nissan,Kicks,2025,Cinza,Híbrido,75,5,27912,Usado - Como Novo,0,Fortaleza,CE,9946.58
1757,BMW,320i,2021,Beige,Híbrido,320,4,278699,Usado - Regular,24,Curitiba,PR,19184.2
1758,Chevrolet,Onix,2024,Marrom,Gasolina,130,4,13330,Usado - Como Novo,48,Manaus,AM,11417.33
1759,Toyota,Corolla,2016,Beige,Gasolina,200,4,319191,Usado - Regular,0,Salvador,BA,4000.0
1760,Chevrolet,Malibu,2015,Verde,Flex,75,4,116645,Usado - Bom Estado,12,Manaus,AM,4010.28
1761,Hyundai,i30,2024,Preto,Gasolina,130,4,100776,Usado - Bom Estado,24,Fortaleza,CE,8395.06
1762,Kia,Soul,2017,Marrom,Híbrido,100,4,116656,Usado - Bom Estado,24,Manaus,AM,5394.35
1763,Toyota,Yaris,2013,Cinza,Flex,200,4,47444,Usado - Bom Estado,12,São Paulo,SP,6513.38
1764,Chevrolet,Trax,2025,Cinza,Elétrico,100,4,283,Novo,36,Goiânia,GO,12570.85
1765,Honda,HR-V,2015,Marrom,Híbrido,120,4,80,Novo,12,Florianópolis,SC,11717.71
1766,Volkswagen,Polo,2023,Branco,Híbrido,110,4,3752,Usado - Como Novo,12,Rio de Janeiro,RJ,13797.26
1767,Fiat,Punto,2018,Preto,Flex,100,4,36815,Usado - Como Novo,0,Rio de Janeiro,RJ,5763.47
1768,Hyundai,HB20,2012,Laranja,Gasolina,60,4,52417,Usado - Bom Estado,48,Manaus,AM,4018.54
1769,Hyundai,Creta,2024,Verde,Flex,150,4,66455,Usado - Bom Estado,48,Belém,PA,8853.97
1770,Hyundai,Bayon,2022,Vermelho,Elétrico,100,4,107011,Usado - Bom Estado,36,Manaus,AM,7771.91
1771,Hyundai,HB20,2014,Cinza,Flex,130,4,37269,Usado - Como Novo,48,Florianópolis,SC,6588.03
1772,Nissan,X-Trail,2012,Preto,Flex,150,4,43934,Usado - Bom Estado,12,Curitiba,PR,4210.74
1773,Mercedes,Sprinter,2013,Azul,Flex,180,5,61374,Usado - Bom Estado,24,Belo Horizonte,MG,19067.85
1774,BMW,520i,2020,Preto,Gasolina,250,4,108056,Usado - Bom Estado,48,Fortaleza,CE,32140.94
1775,Nissan,Sentra,2021,Azul,Gasolina,75,4,82805,Usado - Bom Estado,24,Goiânia,GO,5125.77
1776,Volkswagen,Polo,2016,Beige,Gasolina,110,4,81,Novo,0,Rio de Janeiro,RJ,10089.52
1777,Ford,Ka,2024,Beige,Híbrido,130,4,11492,Usado - Como Novo,36,Belém,PA,13013.18
1778,Hyundai,Bayon,2015,Laranja,Flex,130,4,34809,Usado - Como Novo,0,Curitiba,PR,7176.8
1779,Volkswagen,Tiguan,2023,Prata,Elétrico,130,4,80507,Usado - Bom Estado,6,Belém,PA,9469.34
1780,Kia,Stinger,2015,Vermelho,Diesel,110,4,116279,Usado - Bom Estado,36,Belém,PA,4888.05
1781,Toyota,Hilux,2019,Laranja,Flex,200,4,26040,Usado - Como Novo,6,Florianópolis,SC,12078.1
1782,Mercedes,GLA 200,2023,Verde,Elétrico,150,4,87143,Usado - Bom Estado,48,Manaus,AM,32607.72
1783,Hyundai,i30,2014,Beige,Flex,100,4,90,Novo,36,Fortaleza,CE,9084.86
1784,Ford,Focus,2023,Verde,Diesel,75,2,46850,Usado - Bom Estado,48,Salvador,BA,7104.66
1785,Ford,Fusion,2023,Laranja,Diesel,85,5,51311,Usado - Bom Estado,0,São Paulo,SP,8029.94
1786,Mercedes,A 200,2015,Vermelho,Diesel,150,4,65569,Usado - Bom Estado,6,Belém,PA,19983.6
1787,Ford,Ranger,2013,Azul,Flex,75,4,99901,Usado - Bom Estado,36,Curitiba,PR,4077.5
1788,Ford,Ranger,2017,Laranja,Gasolina,130,4,208308,Usado - Regular,24,Rio de Janeiro,RJ,4000.0
1789,Toyota,Corolla,2023,Beige,Elétrico,200,5,455,Novo,36,Florianópolis,SC,22054.33
1790,Chevrolet,Onix,2020,Vermelho,Diesel,130,4,77406,Usado - Bom Estado,48,Manaus,AM,6540.45
1791,Honda,Fit,2023,Cinza,Elétrico,100,4,59806,Usado - Bom Estado,6,Florianópolis,SC,10190.61
1792,Fiat,Palio,2015,Branco,Diesel,110,4,17371,Usado - Como Novo,48,Curitiba,PR,6199.43
1793,Chevrolet,Onix,2022,Branco,Flex,85,4,92572,Usado - Bom Estado,36,Salvador,BA,6802.39
1794,Ford,Fusion,2017,Laranja,Flex,130,4,113149,Usado - Bom Estado,48,Curitiba,PR,4737.57
1795,Toyota,RAV4,2015,Verde,Diesel,200,2,15615,Usado - Como Novo,0,Porto Alegre,RS,9425.58
1796,Toyota,Camry,2025,Branco,Elétrico,120,4,99602,Usado - Bom Estado,24,Curitiba,PR,11887.22
1797,Fiat,Punto,2013,Preto,Flex,110,5,154550,Usado - Regular,36,Fortaleza,CE,4000.0
1798,Toyota,Camry,2024,Vermelho,Flex,180,2,24439,Usado - Como Novo,0,São Paulo,SP,13712.51
1799,Toyota,Hilux,2025,Branco,Flex,150,4,315149,Usado - Regular,12,Belo Horizonte,MG,4000.0
1800,Toyota,Yaris,2017,Preto,Gasolina,180,5,30586,Usado - Como Novo,36,Manaus,AM,10340.75
1801,BMW,X3,2023,Azul,Gasolina,250,4,418,Novo,0,Rio de Janeiro,RJ,67197.67
1802,Fiat,Doblo,2018,Verde,Gasolina,60,2,176,Novo,36,Goiânia,GO,6457.92
1803,Volkswagen,Gol,2015,Cinza,Flex,150,4,5862,Usado - Como Novo,48,Goiânia,GO,8900.02
1804,Volkswagen,Tiguan,2023,Cinza,Gasolina,130,5,4428,Usado - Como Novo,0,São Paulo,SP,11639.93
1805,Volkswagen,T-Cross,2022,Vermelho,Elétrico,85,4,93606,Usado - Bom Estado,48,Recife,PE,8072.22
1806,Nissan,Kicks,2018,Preto,Flex,130,5,279,Novo,12,Manaus,AM,9725.51
1807,Ford,Ranger,2024,Prata,Flex,85,2,109802,Usado - Bom Estado,0,Curitiba,PR,6678.67
1808,Honda,HR-V,2022,Cinza,Diesel,200,4,100793,Usado - Bom Estado,6,Goiânia,GO,9963.78
1809,Honda,Civic,2019,Cinza,Híbrido,100,4,29449,Usado - Como Novo,6,Fortaleza,CE,12166.4
1810,Toyota,Hilux,2022,Azul,Flex,180,4,299,Novo,0,Curitiba,PR,17768.77
1811,Ford,Fusion,2014,Cinza,Híbrido,100,4,34733,Usado - Como Novo,36,São Paulo,SP,7833.44
1812,Fiat,500,2013,Cinza,Flex,60,4,15933,Usado - Como Novo,12,Florianópolis,SC,4979.52
1813,Volkswagen,Gol,2016,Branco,Flex,60,4,102040,Usado - Bom Estado,6,Belém,PA,4417.88
1814,Toyota,Hilux,2013,Cinza,Gasolina,200,4,32025,Usado - Como Novo,6,São Paulo,SP,9989.64
1815,Toyota,Hilux,2021,Azul,Diesel,100,5,32599,Usado - Como Novo,48,Salvador,BA,14368.02
1816,Audi,TT,2016,Verde,Gasolina,250,5,41,Novo,24,Belo Horizonte,MG,45478.71
1817,Volkswagen,Fox,2021,Laranja,Gasolina,75,5,117702,Usado - Bom Estado,0,Salvador,BA,6001.59
1818,Fiat,500,2024,Cinza,Flex,75,5,25903,Usado - Como Novo,48,São Paulo,SP,8984.8
1819,Ford,Ecosport,2017,Marrom,Gasolina,150,4,17287,Usado - Como Novo,36,Goiânia,GO,8107.92
1820,Hyundai,Tucson,2019,Vermelho,Flex,100,5,109612,Usado - Bom Estado,0,Salvador,BA,5674.06
1821,Honda,Fit,2017,Prata,Gasolina,180,4,113582,Usado - Bom Estado,0,Salvador,BA,6466.89
1822,Honda,CR-V,2015,Marrom,Gasolina,180,4,21106,Usado - Como Novo,12,Belo Horizonte,MG,8792.14
1823,Ford,Focus,2014,Branco,Elétrico,130,4,71096,Usado - Bom Estado,0,Recife,PE,5055.56
1824,Nissan,Sentra,2025,Beige,Gasolina,85,4,13362,Usado - Como Novo,36,Manaus,AM,10789.26
1825,Ford,Ranger,2025,Azul,Diesel,150,4,24601,Usado - Como Novo,0,Belém,PA,12454.3
1826,Chevrolet,S10,2013,Vermelho,Gasolina,75,4,84182,Usado - Bom Estado,24,Rio de Janeiro,RJ,4088.14
1827,Toyota,Camry,2024,Laranja,Híbrido,120,4,81647,Usado - Bom Estado,24,Goiânia,GO,11512.7
1828,Audi,TT,2012,Beige,Elétrico,200,4,215621,Usado - Regular,24,Belo Horizonte,MG,11672.85
1829,Nissan,Sentra,2013,Marrom,Elétrico,150,2,77718,Usado - Bom Estado,36,Curitiba,PR,4484.51
1830,Volkswagen,Gol,2013,Verde,Diesel,100,4,2804,Usado - Como Novo,24,Rio de Janeiro,RJ,7317.1
1831,Audi,A4,2016,Vermelho,Gasolina,180,4,115099,Usado - Bom Estado,0,Florianópolis,SC,19682.62
1832,Ford,Fusion,2020,Marrom,Flex,130,2,32,Novo,6,Florianópolis,SC,9909.54
1833,Chevrolet,Trax,2012,Marrom,Elétrico,130,4,256343,Usado - Regular,12,Rio de Janeiro,RJ,4000.0
1834,Fiat,Palio,2015,Verde,Flex,85,2,31465,Usado - Como Novo,24,Goiânia,GO,4876.52
1835,Nissan,March,2021,Vermelho,Flex,100,4,453,Novo,24,Rio de Janeiro,RJ,10858.6
1836,Ford,Ranger,2018,Branco,Diesel,110,4,472,Novo,12,Florianópolis,SC,11016.29
1837,Honda,HR-V,2022,Verde,Flex,200,4,35655,Usado - Como Novo,12,Rio de Janeiro,RJ,13715.55
1838,Volkswagen,Fox,2025,Branco,Híbrido,110,4,138,Novo,0,Fortaleza,CE,14534.6
1839,BMW,320i,2021,Prata,Elétrico,320,2,28594,Usado - Como Novo,24,Florianópolis,SC,52593.61
1840,Honda,Accord,2014,Beige,Diesel,200,4,18320,Usado - Como Novo,36,São Paulo,SP,10554.89
1841,Hyundai,Bayon,2019,Prata,Flex,130,4,412,Novo,48,Manaus,AM,12299.32
1842,Hyundai,HB20,2014,Verde,Diesel,60,4,37502,Usado - Como Novo,0,São Paulo,SP,6201.71
1843,Hyundai,HB20,2019,Azul,Gasolina,60,2,26055,Usado - Como Novo,48,São Paulo,SP,7364.59
1844,Ford,Ecosport,2024,Prata,Flex,85,5,14913,Usado - Como Novo,48,Fortaleza,CE,11725.98
1845,BMW,X3,2013,Azul,Híbrido,280,4,67001,Usado - Bom Estado,24,Manaus,AM,27076.8
1846,Volkswagen,Tiguan,2016,Azul,Flex,100,5,57595,Usado - Bom Estado,6,Belo Horizonte,MG,4995.68
1847,Honda,Fit,2015,Verde,Elétrico,200,4,115142,Usado - Bom Estado,48,Manaus,AM,8222.33
1848,Honda,Accord,2022,Laranja,Elétrico,150,4,8631,Usado - Como Novo,6,Belém,PA,15875.15
1849,Mercedes,A 200,2020,Cinza,Híbrido,300,4,142,Novo,24,Porto Alegre,RS,57366.86
1850,Ford,Focus,2014,Marrom,Gasolina,100,5,334053,Usado - Regular,12,Salvador,BA,4000.0
1851,Volkswagen,Gol,2023,Prata,Gasolina,75,2,25190,Usado - Como Novo,48,Fortaleza,CE,9275.16
1852,Nissan,X-Trail,2022,Preto,Híbrido,100,5,67662,Usado - Bom Estado,6,Recife,PE,7404.74
1853,Kia,Seltos,2016,Prata,Elétrico,130,4,9002,Usado - Como Novo,6,Belém,PA,9333.25
1854,Kia,Sportage,2021,Laranja,Elétrico,100,4,57228,Usado - Bom Estado,12,Fortaleza,CE,7129.43
1855,Mercedes,C 300,2020,Beige,Elétrico,280,4,337112,Usado - Regular,48,Florianópolis,SC,13617.19
1856,Volkswagen,Fox,2024,Laranja,Gasolina,130,5,245416,Usado - Regular,6,Fortaleza,CE,4000.0
1857,Fiat,Doblo,2017,Cinza,Flex,60,4,223816,Usado - Regular,6,Rio de Janeiro,RJ,4000.0
1858,Hyundai,i30,2013,Verde,Flex,85,2,118197,Usado - Bom Estado,36,Belém,PA,4000.0
1859,Kia,Stinger,2012,Marrom,Diesel,100,5,260548,Usado - Regular,12,Curitiba,PR,4000.0
1860,Fiat,Punto,2023,Laranja,Gasolina,130,4,33112,Usado - Como Novo,24,Fortaleza,CE,7967.23
1861,Nissan,Leaf,2022,Prata,Diesel,130,2,144,Novo,48,Fortaleza,CE,13600.02
1862,Ford,Fusion,2012,Beige,Gasolina,110,5,68,Novo,0,Salvador,BA,6532.82
1863,Honda,HR-V,2018,Laranja,Gasolina,200,4,5870,Usado - Como Novo,12,São Paulo,SP,11716.91
1864,Chevrolet,Onix,2025,Preto,Flex,150,4,112366,Usado - Bom Estado,12,Curitiba,PR,7075.93
1865,Audi,A4,2023,Beige,Diesel,180,4,176,Novo,24,São Paulo,SP,63291.35
1866,BMW,X3,2013,Azul,Híbrido,250,4,4067,Usado - Como Novo,48,Goiânia,GO,38098.65
1867,Toyota,RAV4,2018,Verde,Elétrico,180,4,198397,Usado - Regular,48,Rio de Janeiro,RJ,5588.94
1868,Honda,Accord,2012,Vermelho,Flex,80,4,46159,Usado - Bom Estado,36,Manaus,AM,5488.69
1869,Honda,Accord,2015,Branco,Gasolina,120,4,104134,Usado - Bom Estado,0,São Paulo,SP,5783.0
1870,Fiat,Uno,2021,Marrom,Elétrico,100,2,461,Novo,0,Recife,PE,9554.45
1871,Nissan,Kicks,2024,Verde,Gasolina,150,4,392,Novo,0,Recife,PE,12428.16
1872,Honda,Accord,2022,Cinza,Gasolina,150,5,461,Novo,24,Manaus,AM,17650.09
1873,Chevrolet,Trax,2015,Verde,Flex,100,5,27762,Usado - Como Novo,0,Manaus,AM,6343.15
1874,Kia,Picanto,2016,Prata,Flex,85,4,102340,Usado - Bom Estado,24,São Paulo,SP,5168.73
1875,Fiat,Uno,2025,Verde,Flex,130,4,6,Novo,36,Belo Horizonte,MG,11187.17
1876,Chevrolet,Equinox,2025,Verde,Flex,130,4,23,Novo,6,Belém,PA,15238.08
1877,Ford,Focus,2021,Branco,Gasolina,75,4,359,Novo,12,Fortaleza,CE,11679.91
1878,Chevrolet,Equinox,2012,Vermelho,Gasolina,130,4,7406,Usado - Como Novo,0,Fortaleza,CE,5440.6
1879,Volkswagen,T-Cross,2018,Beige,Diesel,85,4,43062,Usado - Bom Estado,0,Manaus,AM,6444.16
1880,Chevrolet,Malibu,2022,Branco,Flex,100,4,46125,Usado - Bom Estado,24,Porto Alegre,RS,6374.03
1881,Ford,Fusion,2013,Prata,Gasolina,130,4,26282,Usado - Como Novo,0,Goiânia,GO,6392.45
1882,Kia,Seltos,2023,Prata,Diesel,150,5,110786,Usado - Bom Estado,36,Recife,PE,8303.12
1883,Ford,Focus,2022,Cinza,Híbrido,150,4,6493,Usado - Como Novo,0,Curitiba,PR,10849.16
1884,Fiat,500,2024,Azul,Flex,75,4,210386,Usado - Regular,48,Fortaleza,CE,4000.0
1885,Honda,Fit,2022,Beige,Flex,180,5,36667,Usado - Como Novo,48,São Paulo,SP,14473.22
1886,Hyundai,Tucson,2024,Prata,Gasolina,100,5,23754,Usado - Como Novo,0,Goiânia,GO,10246.13
1887,Toyota,Hilux,2013,Branco,Diesel,200,4,43872,Usado - Bom Estado,0,Goiânia,GO,6600.91
1888,Volkswagen,Polo,2019,Prata,Híbrido,110,5,270,Novo,0,Goiânia,GO,13850.04
1889,Fiat,Uno,2020,Verde,Gasolina,60,5,3521,Usado - Como Novo,48,Belém,PA,6737.58
1890,Audi,Q5,2017,Azul,Elétrico,320,4,81305,Usado - Bom Estado,0,Curitiba,PR,35658.5
1891,Toyota,Camry,2022,Prata,Gasolina,80,4,102213,Usado - Bom Estado,12,Belo Horizonte,MG,8286.69
1892,Hyundai,Tucson,2012,Verde,Flex,150,2,158034,Usado - Regular,36,Florianópolis,SC,4000.0
1893,Nissan,Leaf,2012,Cinza,Híbrido,60,4,30534,Usado - Como Novo,0,Florianópolis,SC,5319.44
1894,Honda,Civic,2025,Prata,Flex,100,4,458,Novo,36,Goiânia,GO,16722.01
1895,Chevrolet,Equinox,2022,Azul,Flex,85,2,60141,Usado - Bom Estado,0,Florianópolis,SC,5848.08
1896,Fiat,Palio,2018,Branco,Híbrido,85,4,456,Novo,6,Manaus,AM,7944.57
1897,Ford,Ka,2019,Cinza,Flex,100,4,490,Novo,6,Salvador,BA,11035.29
1898,Honda,HR-V,2014,Laranja,Flex,80,4,101931,Usado - Bom Estado,0,Belo Horizonte,MG,5369.68
1899,Volkswagen,Fox,2020,Beige,Flex,60,5,118820,Usado - Bom Estado,0,Florianópolis,SC,5677.16
1900,Nissan,Leaf,2015,Verde,Gasolina,60,4,71704,Usado - Bom Estado,24,Manaus,AM,4000.0
1901,Chevrolet,Malibu,2015,Cinza,Flex,60,5,345190,Usado - Regular,0,Curitiba,PR,4000.0
1902,Toyota,Corolla,2014,Azul,Gasolina,80,5,118195,Usado - Bom Estado,48,Porto Alegre,RS,5594.9
1903,Fiat,Uno,2019,Cinza,Diesel,150,4,116098,Usado - Bom Estado,6,Salvador,BA,4710.99
1904,Toyota,RAV4,2020,Beige,Híbrido,100,5,152716,Usado - Regular,0,Goiânia,GO,5445.72
1905,Fiat,500,2012,Laranja,Gasolina,100,4,81875,Usado - Bom Estado,12,Recife,PE,4000.0
1906,Honda,Civic,2013,Verde,Gasolina,200,4,89236,Usado - Bom Estado,6,Rio de Janeiro,RJ,5410.09
1907,BMW,Z4,2012,Azul,Diesel,300,4,15242,Usado - Como Novo,0,Curitiba,PR,33204.41
1908,Hyundai,Tucson,2025,Beige,Flex,150,5,94327,Usado - Bom Estado,24,Belo Horizonte,MG,7957.69
1909,Volkswagen,T-Cross,2015,Verde,Flex,75,4,290384,Usado - Regular,36,Recife,PE,4000.0
1910,Honda,Fit,2021,Branco,Diesel,80,4,189993,Usado - Regular,0,Porto Alegre,RS,4459.48
1911,Volkswagen,T-Cross,2018,Verde,Diesel,60,4,14828,Usado - Como Novo,24,Recife,PE,9798.33
1912,Kia,Picanto,2025,Beige,Gasolina,100,4,11488,Usado - Como Novo,24,Porto Alegre,RS,10671.38
1913,Audi,A3,2018,Preto,Flex,320,4,48462,Usado - Bom Estado,48,Porto Alegre,RS,32352.36
1914,Hyundai,Creta,2023,Preto,Flex,150,4,12562,Usado - Como Novo,24,São Paulo,SP,13172.97
1915,Hyundai,Bayon,2017,Cinza,Gasolina,75,4,259411,Usado - Regular,6,Rio de Janeiro,RJ,4000.0
1916,Fiat,Palio,2024,Prata,Gasolina,150,2,91670,Usado - Bom Estado,24,Salvador,BA,5010.03
1917,Mercedes,GLA 200,2022,Branco,Gasolina,250,4,257,Novo,6,São Paulo,SP,50682.69
1918,Ford,Ecosport,2016,Verde,Diesel,60,4,74793,Usado - Bom Estado,0,Belo Horizonte,MG,4870.76
1919,Hyundai,Bayon,2022,Beige,Híbrido,150,4,54735,Usado - Bom Estado,36,Salvador,BA,8852.28
1920,Hyundai,Tucson,2015,Vermelho,Híbrido,100,5,24,Novo,12,Goiânia,GO,9194.98
1921,Fiat,Punto,2023,Branco,Diesel,100,2,10844,Usado - Como Novo,48,Belo Horizonte,MG,8321.22
1922,Toyota,Corolla,2024,Preto,Gasolina,180,2,331832,Usado - Regular,0,Fortaleza,CE,4000.0
1923,Ford,Ranger,2025,Laranja,Flex,85,5,459,Novo,12,Porto Alegre,RS,14347.7
1924,Volkswagen,T-Cross,2019,Vermelho,Gasolina,75,5,19369,Usado - Como Novo,6,Florianópolis,SC,9079.27
1925,Nissan,Kicks,2018,Prata,Gasolina,130,4,51632,Usado - Bom Estado,24,Goiânia,GO,5262.68
1926,Toyota,Corolla,2022,Verde,Híbrido,100,5,73,Novo,0,Manaus,AM,18119.35
1927,Chevrolet,Trax,2022,Vermelho,Flex,85,5,30133,Usado - Como Novo,0,Recife,PE,7964.12
1928,Chevrolet,Equinox,2021,Beige,Elétrico,130,2,9767,Usado - Como Novo,24,Recife,PE,10599.98
1929,Ford,Ecosport,2012,Azul,Híbrido,75,4,9731,Usado - Como Novo,12,Porto Alegre,RS,5830.03
1930,Toyota,Yaris,2017,Azul,Elétrico,200,2,29360,Usado - Como Novo,0,Rio de Janeiro,RJ,12367.8
1931,Chevrolet,Malibu,2025,Cinza,Elétrico,110,4,464,Novo,24,São Paulo,SP,15442.94
1932,Chevrolet,Onix,2013,Vermelho,Flex,75,2,249152,Usado - Regular,12,Curitiba,PR,4000.0
1933,Chevrolet,S10,2015,Preto,Flex,75,4,125206,Usado - Regular,48,São Paulo,SP,4000.0
1934,Ford,Focus,2016,Cinza,Flex,60,5,18526,Usado - Como Novo,36,Curitiba,PR,8049.16
1935,Ford,Ranger,2019,Azul,Elétrico,60,5,128,Novo,36,Manaus,AM,10602.33
1936,Nissan,X-Trail,2017,Prata,Flex,150,5,293,Novo,12,Belém,PA,9125.81
1937,Volkswagen,Tiguan,2022,Vermelho,Flex,100,2,40,Novo,12,Goiânia,GO,14008.96
1938,Nissan,Kicks,2013,Prata,Gasolina,75,4,61951,Usado - Bom Estado,48,Goiânia,GO,4000.0
1939,Chevrolet,Malibu,2016,Prata,Gasolina,150,4,92890,Usado - Bom Estado,36,São Paulo,SP,5275.1
1940,Toyota,RAV4,2016,Vermelho,Gasolina,200,4,233,Novo,0,Manaus,AM,12513.06
1941,Toyota,Yaris,2017,Preto,Híbrido,120,4,44,Novo,12,Salvador,BA,17300.12
1942,Volkswagen,Polo,2012,Vermelho,Flex,60,2,77655,Usado - Bom Estado,12,Belém,PA,4000.0
1943,Nissan,Leaf,2019,Marrom,Gasolina,60,4,73319,Usado - Bom Estado,0,Porto Alegre,RS,4640.5
1944,Fiat,Doblo,2014,Preto,Gasolina,60,5,34871,Usado - Como Novo,36,Salvador,BA,4580.1
1945,Nissan,Leaf,2016,Marrom,Flex,60,4,75560,Usado - Bom Estado,6,Rio de Janeiro,RJ,4155.04
1946,Chevrolet,Trax,2018,Verde,Gasolina,110,4,29890,Usado - Como Novo,12,São Paulo,SP,6928.66
1947,Hyundai,Bayon,2014,Marrom,Diesel,75,4,8984,Usado - Como Novo,48,Manaus,AM,6582.6
1948,Honda,HR-V,2025,Azul,Diesel,120,4,452,Novo,24,Florianópolis,SC,18406.91
